Name,Code,Difference
(GMT-11:00) Niue Time,Pacific/Niue,-11:00
(GMT-11:00) Samoa Standard Time,Pacific/Pago_Pago,-11:00
(GMT-10:00) Cook Islands Standard Time,Pacific/Rarotonga,-10:00
(GMT-10:00) Hawaii-Aleutian Standard Time,Pacific/Honolulu,-10:00
(GMT-10:00) Tahiti Time,Pacific/Tahiti,-10:00
(GMT-09:30) Marquesas Time,Pacific/Marquesas,-09:30
(GMT-09:00) Gambier Time,Pacific/Gambier,-09:00
(GMT-09:00) Hawaii-Aleutian Time (Adak),America/Adak,-09:00
(GMT-08:00) Alaska Time - Anchorage,America/Anchorage,-08:00
(GMT-08:00) Alaska Time - Juneau,America/Juneau,-08:00
(GMT-08:00) Alaska Time - Metlakatla,America/Metlakatla,-08:00
(GMT-08:00) Alaska Time - Nome,America/Nome,-08:00
(GMT-08:00) Alaska Time - Sitka,America/Sitka,-08:00
(GMT-08:00) Alaska Time - Yakutat,America/Yakutat,-08:00
(GMT-08:00) Pitcairn Time,Pacific/Pitcairn,-08:00
(GMT-07:00) Mexican Pacific Standard Time - Hermosillo,America/Hermosillo,-07:00
(GMT-07:00) Mexican Pacific Standard Time - Mazatlan,America/Mazatlan,-07:00
(GMT-07:00) Mountain Standard Time - Dawson Creek,America/Dawson_Creek,-07:00
(GMT-07:00) Mountain Standard Time - Fort Nelson,America/Fort_Nelson,-07:00
(GMT-07:00) Mountain Standard Time - Phoenix,America/Phoenix,-07:00
(GMT-07:00) Pacific Time - Los Angeles,America/Los_Angeles,-07:00
(GMT-07:00) Pacific Time - Tijuana,America/Tijuana,-07:00
(GMT-07:00) Pacific Time - Vancouver,America/Vancouver,-07:00
(GMT-07:00) Yukon Time - Dawson,America/Dawson,-07:00
(GMT-07:00) Yukon Time - Whitehorse,America/Whitehorse,-07:00
(GMT-06:00) Central Standard Time - Bahia Banderas,America/Bahia_Banderas,-06:00
(GMT-06:00) Central Standard Time - Belize,America/Belize,-06:00
(GMT-06:00) Central Standard Time - Chihuahua,America/Chihuahua,-06:00
(GMT-06:00) Central Standard Time - Costa Rica,America/Costa_Rica,-06:00
(GMT-06:00) Central Standard Time - El Salvador,America/El_Salvador,-06:00
(GMT-06:00) Central Standard Time - Guatemala,America/Guatemala,-06:00
(GMT-06:00) Central Standard Time - Managua,America/Managua,-06:00
(GMT-06:00) Central Standard Time - Merida,America/Merida,-06:00
(GMT-06:00) Central Standard Time - Mexico City,America/Mexico_City,-06:00
(GMT-06:00) Central Standard Time - Monterrey,America/Monterrey,-06:00
(GMT-06:00) Central Standard Time - Regina,America/Regina,-06:00
(GMT-06:00) Central Standard Time - Swift Current,America/Swift_Current,-06:00
(GMT-06:00) Central Standard Time - Tegucigalpa,America/Tegucigalpa,-06:00
(GMT-06:00) Easter Island Time,Pacific/Easter,-06:00
(GMT-06:00) Galapagos Time,Pacific/Galapagos,-06:00
(GMT-06:00) Mountain Time - Boise,America/Boise,-06:00
(GMT-06:00) Mountain Time - Cambridge Bay,America/Cambridge_Bay,-06:00
(GMT-06:00) Mountain Time - Ciudad Juárez,America/Ciudad_Juarez,-06:00
(GMT-06:00) Mountain Time - Denver,America/Denver,-06:00
(GMT-06:00) Mountain Time - Edmonton,America/Edmonton,-06:00
(GMT-06:00) Mountain Time - Inuvik,America/Inuvik,-06:00
(GMT-06:00) Mountain Time - Yellowknife,America/Yellowknife,-06:00
(GMT-05:00) Acre Standard Time - Eirunepe,America/Eirunepe,-05:00
(GMT-05:00) Acre Standard Time - Rio Branco,America/Rio_Branco,-05:00
(GMT-05:00) Central Time - Beulah North Dakota,America/North_Dakota/Beulah,-05:00
(GMT-05:00) Central Time - Center North Dakota,America/North_Dakota/Center,-05:00
(GMT-05:00) Central Time - Chicago,America/Chicago,-05:00
(GMT-05:00) Central Time - Knox Indiana,America/Indiana/Knox,-05:00
(GMT-05:00) Central Time - Matamoros,America/Matamoros,-05:00
(GMT-05:00) Central Time - Menominee,America/Menominee,-05:00
(GMT-05:00) Central Time - New Salem North Dakota,America/North_Dakota/New_Salem,-05:00
(GMT-05:00) Central Time - Ojinaga,America/Ojinaga,-05:00
(GMT-05:00) Central Time - Rainy River,America/Rainy_River,-05:00
(GMT-05:00) Central Time - Rankin Inlet,America/Rankin_Inlet,-05:00
(GMT-05:00) Central Time - Resolute,America/Resolute,-05:00
(GMT-05:00) Central Time - Tell City Indiana,America/Indiana/Tell_City,-05:00
(GMT-05:00) Central Time - Winnipeg,America/Winnipeg,-05:00
(GMT-05:00) Colombia Standard Time,America/Bogota,-05:00
(GMT-05:00) Eastern Standard Time - Cancun,America/Cancun,-05:00
(GMT-05:00) Eastern Standard Time - Jamaica,America/Jamaica,-05:00
(GMT-05:00) Eastern Standard Time - Panama,America/Panama,-05:00
(GMT-05:00) Ecuador Time,America/Guayaquil,-05:00
(GMT-05:00) Peru Standard Time,America/Lima,-05:00
(GMT-04:00) Amazon Standard Time - Boa Vista,America/Boa_Vista,-04:00
(GMT-04:00) Amazon Standard Time - Campo Grande,America/Campo_Grande,-04:00
(GMT-04:00) Amazon Standard Time - Cuiaba,America/Cuiaba,-04:00
(GMT-04:00) Amazon Standard Time - Manaus,America/Manaus,-04:00
(GMT-04:00) Amazon Standard Time - Porto Velho,America/Porto_Velho,-04:00
(GMT-04:00) Atlantic Standard Time - Barbados,America/Barbados,-04:00
(GMT-04:00) Atlantic Standard Time - Martinique,America/Martinique,-04:00
(GMT-04:00) Atlantic Standard Time - Puerto Rico,America/Puerto_Rico,-04:00
(GMT-04:00) Atlantic Standard Time - Santo Domingo,America/Santo_Domingo,-04:00
(GMT-04:00) Bolivia Time,America/La_Paz,-04:00
(GMT-04:00) Chile Time,America/Santiago,-04:00
(GMT-04:00) Cuba Time,America/Havana,-04:00
(GMT-04:00) Eastern Time - Detroit,America/Detroit,-04:00
(GMT-04:00) Eastern Time - Grand Turk,America/Grand_Turk,-04:00
(GMT-04:00) Eastern Time - Indianapolis,America/Indiana/Indianapolis,-04:00
(GMT-04:00) Eastern Time - Iqaluit,America/Iqaluit,-04:00
(GMT-04:00) Eastern Time - Louisville,America/Kentucky/Louisville,-04:00
(GMT-04:00) Eastern Time - Marengo Indiana,America/Indiana/Marengo,-04:00
(GMT-04:00) Eastern Time - Monticello Kentucky,America/Kentucky/Monticello,-04:00
(GMT-04:00) Eastern Time - New York,America/New_York,-04:00
(GMT-04:00) Eastern Time - Nipigon,America/Nipigon,-04:00
(GMT-04:00) Eastern Time - Pangnirtung,America/Pangnirtung,-04:00
(GMT-04:00) Eastern Time - Petersburg Indiana,America/Indiana/Petersburg,-04:00
